pilot's name,Success rate,Crash rate,human action taken rate,test_time,alpha,time,model_name
xzh,0.0,1.0,0.296969696969697,2,0.95,2022-03-23 12:21:44,"model/DQN_LunarLander_SC-v2_作者环境训练，小改,use-shaping-copilot-no-FuelCost2"
xzh,0.0,1.0,0.6040372670807453,2,0.95,2022-03-23 12:22:57,"model/DQN_LunarLander_SC-v2_作者环境训练，小改,use-shaping-copilot-no-FuelCost2"
xzh,0.0,1.0,0.7414448669201521,2,0.95,2022-03-23 12:47:55,"model/DQN_LunarLander_SC-v2_作者环境训练，小改,use-shaping-copilot-no-FuelCost2"
xzh,0.25,0.75,0.4923826934795856,20,0.95,2022-03-23 14:47:31,"model/DQN_LunarLander_SC-v2_作者环境训练，小改,use-shaping-copilot-no-FuelCost2"
xzh,0.05,0.95,0.3934890304317056,20,0.95,2022-03-23 14:49:35,"model/DQN_LunarLander_SC-v2_作者环境训练，小改,use-shaping-copilot-no-FuelCost2"
xzh,0.15,0.85,0.4892237268739271,20,0.95,2022-03-23 14:51:42,"model/DQN_LunarLander_SC-v2_作者环境训练，小改,use-shaping-copilot-no-FuelCost2"
xzh,0.25,0.65,0.4980046208779668,20,0.95,2022-03-23 14:54:33,"model/DQN_LunarLander_SC-v2_作者环境训练，小改,use-shaping-copilot-no-FuelCost2"
xzh,0.45,0.4,0.6855123674911661,20,0.95,2022-03-23 14:57:56,"model/DQN_LunarLander_SC-v2_作者环境训练，小改,use-shaping-copilot-no-FuelCost"
xzh,0.35,0.6,0.6967448539971278,20,0.95,2022-03-23 14:59:29,"model/DQN_LunarLander_SC-v2_作者环境训练，小改,use-shaping-copilot-no-FuelCost"
xzh,0.4,0.35,0.7634861493601166,20,0.95,2022-03-23 15:01:31,"model/DQN_LunarLander_SC-v2_作者环境训练，小改,use-shaping-copilot-no-FuelCost"
xzh,0.3,0.5,0.7370495495495496,20,0.95,2022-03-23 15:03:23,"model/DQN_LunarLander_SC-v2_作者环境训练，小改,use-shaping-copilot-no-FuelCost"
xzh,0.55,0.25,0.6800187032418953,20,0.96,2022-03-23 15:06:02,"model/DQN_LunarLander_SC-v2_作者环境训练，小改,use-shaping-copilot-no-FuelCost"
xzh,0.65,0.3,0.6841737916593963,20,0.96,2022-03-23 15:07:59,"model/DQN_LunarLander_SC-v2_作者环境训练，小改,use-shaping-copilot-no-FuelCost"
xzh,0.5,0.5,0.784251968503937,2,0.96,2022-03-23 16-03-58,"model/DQN_LunarLander_SC-v2_作者环境训练，小改,use-shaping-copilot-no-FuelCost"
xzh,0.0,1.0,0.6566265060240963,2,0.96,2022-03-23 16-04-57,"model/DQN_LunarLander_SC-v2_作者环境训练，小改,use-shaping-copilot-no-FuelCost"
xzh,0.55,0.25,0.7383675387748707,20,0.96,2022-03-23 16-06-03,"model/DQN_LunarLander_SC-v2_作者环境训练，小改,use-shaping-copilot-no-FuelCost"
xzh,0.7,0.3,0.6838905775075987,20,0.96,2022-03-23~16-12-38,"model/DQN_LunarLander_SC-v2_作者环境训练，小改,use-shaping-copilot-no-FuelCost"
xzh,0.7,0.2,0.7234289024037069,20,0.96,2022-03-25~20-07-15,"model/DQN_LunarLander_SC-v2_作者环境训练，小改,use-shaping-copilot-no-FuelCost"
xzh,0.45,0.5,0.6602787456445993,20,0.96,2022-03-25~21-36-31,"model/DQN_LunarLander_SC-v2_作者环境训练，小改,use-shaping-copilot-no-FuelCost"
xzh,0.6,0.2,0.68688293370945,10,0.96,2022-03-25~21-39-39,"model/DQN_LunarLander_SC-v2_作者环境训练，小改,use-shaping-copilot-no-FuelCost"
xzh,0.5,0.4,0.676021116976938,10,0.96,2022-03-27~09-11-01,"model/DQN_LunarLander_SC-v2_作者环境训练，小改,use-shaping-copilot-no-FuelCost"
phs-test,0.0,1.0,0.4295302013422818,2,0.96,2022-03-27~09-13-02,"model/DQN_LunarLander_SC-v2_作者环境训练，小改,use-shaping-copilot-no-FuelCost"
xzh,0.6,0.3,0.6529411764705882,10,0.96,2022-03-27~09-14-10,"model/DQN_LunarLander_SC-v2_作者环境训练，小改,use-shaping-copilot-no-FuelCost"
xzh,0.9,0.1,0.7296969696969697,10,0.96,2022-03-27~09-15-16,"model/DQN_LunarLander_SC-v2_作者环境训练，小改,use-shaping-copilot-no-FuelCost"
thc-test,0.2,0.65,0.5353377586880125,20,0.96,2022-03-27~10-49-36,"model/DQN_LunarLander_SC-v2_作者环境训练，小改,use-shaping-copilot-no-FuelCost"
thc-test,0.2,0.45,0.5227481617647058,20,0.96,2022-03-27~10-51-23,"model/DQN_LunarLander_SC-v2_作者环境训练，小改,use-shaping-copilot-no-FuelCost"
thc-test,0.8,0.2,0.7480461481205806,10,0.96,2022-03-27~10-53-01,"model/DQN_LunarLander_SC-v2_作者环境训练，小改,use-shaping-copilot-no-FuelCost"
thc,0.12,0.62,0.5240194247291744,50,0.96,2022-03-27~10-54-38,"model/DQN_LunarLander_SC-v2_作者环境训练，小改,use-shaping-copilot-no-FuelCost"
show,0.4,0.4,0.7313341493268054,10,0.96,2022-03-27~11-00-59,"model/DQN_LunarLander_SC-v2_作者环境训练，小改,use-shaping-copilot-no-FuelCost"
gsf-test,0.4,0.5,0.6780810306831666,20,0.96,2022-03-27~11-07-01,"model/DQN_LunarLander_SC-v2_作者环境训练，小改,use-shaping-copilot-no-FuelCost"
gsf-test,0.2,0.6,0.6776597726849264,20,0.96,2022-03-27~11-08-52,"model/DQN_LunarLander_SC-v2_作者环境训练，小改,use-shaping-copilot-no-FuelCost"
gsf-test,0.35,0.55,0.5720471077242812,20,0.96,2022-03-27~11-10-43,"model/DQN_LunarLander_SC-v2_作者环境训练，小改,use-shaping-copilot-no-FuelCost"
gsf,0.3,0.48,0.6545019443613521,50,0.96,2022-03-27~11-12-43,"model/DQN_LunarLander_SC-v2_作者环境训练，小改,use-shaping-copilot-no-FuelCost"
xzh,0.45,0.4,0.5802700675168793,20,0.96,2022-03-27~11-20-56,"model/DQN_LunarLander_SC-v2_作者环境训练，小改,use-shaping-copilot-no-FuelCost"
xzh,0.4,0.45,0.6405750798722045,20,0.96,2022-03-27~11-22-40,"model/DQN_LunarLander_SC-v2_作者环境训练，小改,use-shaping-copilot-no-FuelCost"
show,0.65,0.25,0.6504402724705101,20,0.96,2022-03-27~15-40-10,"model/DQN_LunarLander_SC-v2_作者环境训练，小改,use-shaping-copilot-no-FuelCost"
wjc-test,0.05,0.7,0.5860927152317881,20,0.96,2022-03-27~15-44-14,"model/DQN_LunarLander_SC-v2_作者环境训练，小改,use-shaping-copilot-no-FuelCost"
wjc-test,0.1,0.7,0.5145025752236378,20,0.96,2022-03-27~15-45-42,"model/DQN_LunarLander_SC-v2_作者环境训练，小改,use-shaping-copilot-no-FuelCost"
wjc,0.16,0.6,0.5825125770566145,50,0.96,2022-03-27~15-47-12,"model/DQN_LunarLander_SC-v2_作者环境训练，小改,use-shaping-copilot-no-FuelCost"
show,0.3,0.3,0.7433987813134733,10,0.96,2022-03-27~15-57-21,"model/DQN_LunarLander_SC-v2_作者环境训练，小改,use-shaping-copilot-no-FuelCost"
wpf-test,0.4,0.5,0.5069112842422719,10,0.96,2022-03-27~15-59-10,"model/DQN_LunarLander_SC-v2_作者环境训练，小改,use-shaping-copilot-no-FuelCost"
wpf-test,0.2,0.8,0.4930747922437673,10,0.96,2022-03-27~16-00-26,"model/DQN_LunarLander_SC-v2_作者环境训练，小改,use-shaping-copilot-no-FuelCost"
wpf,0.32,0.64,0.572617680826636,50,0.96,2022-03-27~16-01-26,"model/DQN_LunarLander_SC-v2_作者环境训练，小改,use-shaping-copilot-no-FuelCost"
show,0.6,0.1,0.6645161290322581,10,0.96,2022-03-27~16-14-44,"model/DQN_LunarLander_SC-v2_作者环境训练，小改,use-shaping-copilot-no-FuelCost"
qhy-test,0.2,0.7,0.6096929337772845,10,0.96,2022-03-27~16-16-43,"model/DQN_LunarLander_SC-v2_作者环境训练，小改,use-shaping-copilot-no-FuelCost"
qhy-test,0.4,0.6,0.6840721262208865,10,0.96,2022-03-27~16-17-38,"model/DQN_LunarLander_SC-v2_作者环境训练，小改,use-shaping-copilot-no-FuelCost"
qhy,0.34,0.46,0.6041720990873534,50,0.96,2022-03-27~16-18-42,"model/DQN_LunarLander_SC-v2_作者环境训练，小改,use-shaping-copilot-no-FuelCost"
hgh-test,0.2,0.2,0.5297766749379652,10,0.96,2022-03-27~16-28-05,"model/DQN_LunarLander_SC-v2_作者环境训练，小改,use-shaping-copilot-no-FuelCost"
hgh-test,0.3,0.4,0.5146245059288538,10,0.96,2022-03-27~16-29-11,"model/DQN_LunarLander_SC-v2_作者环境训练，小改,use-shaping-copilot-no-FuelCost"
hgh,0.3,0.52,0.5823051037577117,50,0.96,2022-03-27~16-30-15,"model/DQN_LunarLander_SC-v2_作者环境训练，小改,use-shaping-copilot-no-FuelCost"
show,0.2,0.6,0.5691192865105908,5,0.96,2022-03-27~20-25-16,"model/DQN_LunarLander_SC-v2_作者环境训练，小改,use-shaping-copilot-no-FuelCost"
wsf-test,0.2,0.6,0.5617540217955371,10,0.96,2022-03-27~20-27-34,"model/DQN_LunarLander_SC-v2_作者环境训练，小改,use-shaping-copilot-no-FuelCost"
wsf-test,0.3,0.6,0.5687907313540912,10,0.96,2022-03-27~20-28-51,"model/DQN_LunarLander_SC-v2_作者环境训练，小改,use-shaping-copilot-no-FuelCost"
wsf,0.32,0.6,0.5674343315429328,50,0.96,2022-03-27~20-30-00,"model/DQN_LunarLander_SC-v2_作者环境训练，小改,use-shaping-copilot-no-FuelCost"
gsf,0.44,0.4,0.6375953116138383,50,0.96,2022-03-27~21-01-38,"model/DQN_LunarLander_SC-v2_作者环境训练，小改,use-shaping-copilot-no-FuelCost"
gsf,0.4,0.46,0.5783516094800142,50,0.96,2022-03-27~21-06-49,"model/DQN_LunarLander_SC-v2_作者环境训练，小改,use-shaping-copilot-no-FuelCost"
wzw-test,0.2,0.8,0.5568362480127186,10,0.96,2022-03-27~21-12-05,"model/DQN_LunarLander_SC-v2_作者环境训练，小改,use-shaping-copilot-no-FuelCost"
wzw-test,0.3,0.7,0.638196915776987,10,0.96,2022-03-27~21-12-58,"model/DQN_LunarLander_SC-v2_作者环境训练，小改,use-shaping-copilot-no-FuelCost"
wzw,0.3,0.5,0.646653601757824,50,0.96,2022-03-27~21-14-00,"model/DQN_LunarLander_SC-v2_作者环境训练，小改,use-shaping-copilot-no-FuelCost"
show_01,0.0,1.0,0.7352941176470589,10,0.1,2022-03-27~21-20-07,"model/DQN_LunarLander_SC-v2_作者环境训练，小改,use-shaping-copilot-no-FuelCost"
show_01,0.6,0.3,0.7351323028556458,10,0.95,2022-03-27~21-21-16,"model/DQN_LunarLander_SC-v2_作者环境训练，小改,use-shaping-copilot-no-FuelCost"
show_01,0.7,0.3,0.7486402486402487,10,0.95,2022-03-27~21-22-32,"model/DQN_LunarLander_SC-v2_作者环境训练，小改,use-shaping-copilot-no-FuelCost"
gsf-test,0.1,0.8,0.6881162428645563,10,0.95,2022-03-27~21-23-55,"model/DQN_LunarLander_SC-v2_作者环境训练，小改,use-shaping-copilot-no-FuelCost"
gsf-test,0.3,0.5,0.4936764064544265,10,0.95,2022-03-27~21-24-53,"model/DQN_LunarLander_SC-v2_作者环境训练，小改,use-shaping-copilot-no-FuelCost"
gsf-test,0.5,0.4,0.5080922020598333,10,0.95,2022-03-27~21-25-43,"model/DQN_LunarLander_SC-v2_作者环境训练，小改,use-shaping-copilot-no-FuelCost"
gsf-test,0.3,0.7,0.5291005291005291,10,0.95,2022-03-27~21-26-27,"model/DQN_LunarLander_SC-v2_作者环境训练，小改,use-shaping-copilot-no-FuelCost"
gsf-test,0.2,0.4,0.4087748741309038,10,0.99,2022-03-27~21-32-04,"model/DQN_LunarLander_SC-v2_作者环境训练，小改,use-shaping-copilot-no-FuelCost"
gsf-test,0.2,0.5,0.145981410606889,10,0.999,2022-03-27~21-33-43,"model/DQN_LunarLander_SC-v2_作者环境训练，小改,use-shaping-copilot-no-FuelCost"
phs-test,0.4,0.4,0.6458885941644562,10,0.95,2022-03-27~23-10-34,"model/DQN_LunarLander_SC-v2_作者环境训练，小改,use-shaping-copilot-no-FuelCost"
phs-test,0.2,0.7,0.5357624831309041,10,0.96,2022-03-27~23-11-59,"model/DQN_LunarLander_SC-v2_作者环境训练，小改,use-shaping-copilot-no-FuelCost"
phs,0.24,0.58,0.502996504078575,50,0.96,2022-03-27~23-13-42,"model/DQN_LunarLander_SC-v2_作者环境训练，小改,use-shaping-copilot-no-FuelCost"
leo-test,0.3,0.5,0.4862921348314606,10,0.96,2022-03-27~23-18-15,"model/DQN_LunarLander_SC-v2_作者环境训练，小改,use-shaping-copilot-no-FuelCost"
