pilot's name,Success rate,Crash rate,human action taken rate,test_time,alpha,time,model_name
测试,0.1,0.8,0.7169877408056042,10,0.96,2022-04-08~12-38-17,model/A5_plus2
测试,0.0,1.0,0.634703196347032,10,0.96,2022-04-08~15-08-02,model/A5_plus2
测试,0.0,0.7,0.3827819281394521,10,0.96,2022-04-08~15-14-38,model/A5_plus2
测试,0.4,0.5,0.2929726996966633,10,0.96,2022-04-08~15-20-04,model/A4_plus2
测试,0.6,0.4,0.2429438142970192,10,0.96,2022-04-08~15-21-20,model/A4_plus2
测试,0.5,0.4,0.3148535564853556,10,0.95,2022-04-08~15-22-37,model/A4_plus2
测试,0.5,0.5,0.3654961832061069,10,0.9,2022-04-08~15-23-55,model/A4_plus2
测试,0.3,0.6,0.2730329522528581,10,0.9,2022-04-08~15-25-06,model/A4_plus2
测试,0.3,0.7,0.3200107296137339,10,0.9,2022-04-08~15-26-07,model/A4_plus2
测试,0.0,0.9,0.3789644012944984,10,0.96,2022-04-08~15-43-57,model/A3_plus2
测试,0.3,0.6,0.4228855721393035,10,0.9,2022-04-08~15-45-04,model/A3_plus2
测试,0.4,0.6,0.5005555555555555,10,0.9,2022-04-08~15-46-07,model/A3_plus2.5
测试,0.5,0.5,0.3499469777306468,10,0.96,2022-04-08~15-46-50,model/A3_plus2.5
测试,0.3,0.7,0.4255803368229404,10,0.96,2022-04-08~15-47-31,model/A3_plus2.5
测试,0.4,0.6,0.407906976744186,10,0.96,2022-04-08~15-48-16,model/A3_plus2.5
测试,0.6,0.3,0.6642468239564429,10,0.96,2022-04-08~15-49-22,model/A3_plus2.5
测试,0.5,0.5,0.6801242236024845,10,0.96,2022-04-08~15-50-12,model/A3_plus2.5
测试,0.2,0.5,0.7218593930080676,10,0.96,2022-04-08~15-50-52,model/A3_plus2.5
测试,0.4,0.5,0.6173649671882887,10,0.96,2022-04-09~19-23-01,model/A3_plus2.5
测试-ez,0.5,0.2,0.6868050407709414,10,0.96,2022-04-09~19-24-55,model/A3_plus2.5
测试-ez,0.6,0.1,0.7249883666821778,10,0.96,2022-04-09~19-25-49,model/A3_plus2.5
