pilot's name,Success rate,Crash rate,test_time,time
xzh,0.0,1.0,3,2022-03-23~16-24-03
xzh,0.0,1.0,3,2022-03-23~16-30-25
xzh,0.0,1.0,3,2022-03-23~16-31-57
xzh,0.05,0.95,20,2022-03-23~16-34-11
xzh,0.0,1.0,20,2022-03-25~20-05-27
xzh,0.0,1.0,20,2022-03-25~21-11-46
xzh,0.0,0.8,5,2022-03-25~21-27-44
xzh,0.0,1.0,5,2022-03-27~10-47-44
xzh,0.0,1.0,10,2022-03-27~10-48-15
thc,0.0,1.0,10,2022-03-27~10-49-00
thc,0.0,1.0,10,2022-03-27~11-00-10
thc,0.0,1.0,10,2022-03-27~11-03-27
thc,0.0,1.0,10,2022-03-27~11-05-37
gsf,0.0,1.0,10,2022-03-27~11-06-15
show,0.0,1.0,10,2022-03-27~15-39-09
wjc,0.0,1.0,10,2022-03-27~15-42-26
wjc,0.0,1.0,10,2022-03-27~15-42-51
show,0.0,1.0,10,2022-03-27~15-56-19
wpf,0.0,1.0,10,2022-03-27~15-58-25
show,0.0,0.9,10,2022-03-27~16-13-50
qhy,0.0,1.0,10,2022-03-27~16-15-54
hgh,0.0,1.0,10,2022-03-27~16-26-41
hgh,0.0,1.0,10,2022-03-27~16-27-15
show,0.0,1.0,10,2022-03-27~20-24-17
wsf,0.0,1.0,10,2022-03-27~20-26-54
xzh-ez,0.0,0.9,10,2022-03-28~16-32-25
xzh-ez,0.1,0.8,10,2022-03-28~16-32-54
xzh-ez,0.0,1.0,10,2022-03-28~16-33-50
xzh-ez,0.0,1.0,10,2022-03-28~16-37-59
xzh-ez,0.0,1.0,10,2022-03-28~16-38-19
xzh-ez,0.0,1.0,10,2022-03-28~16-40-26
xzh-ez,0.2,0.7,10,2022-03-28~17-22-48
xzh-ez,0.2,0.8,10,2022-03-28~22-36-13
thc,0.0,1.0,20,2022-03-28~22-37-47
thc,0.0,1.0,20,2022-03-28~22-38-45
gsf,0.05,0.85,20,2022-03-28~22-46-54
phs,0.05,0.95,20,2022-03-28~22-57-11
phs,0.0,1.0,20,2022-03-29~19-56-33
lpz,0.1,0.85,20,2022-03-29~20-05-20
wzy,0.1,0.9,20,2022-03-29~20-14-37
nsl,0.0,1.0,20,2022-03-29~20-25-33
dyl,0.05,0.85,20,2022-03-29~20-37-54
zzc,0.05,0.95,20,2022-03-29~21-06-37
zzc,0.05,0.95,20,2022-04-11~20-25-02
